,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_text_x,retweeted_text_y
0,0,Tue Aug 11 21:17:00 +0000 2020,1293295374640136192,1293295374640136192,"Our town hall on unemployment benefits, the Postal Service and the Census is starting now! Join us on Facebook Live: https://t.co/UXcgogzTa1",False,"[0, 140]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UXcgogzTa1', 'expanded_url': 'https://www.facebook.com/repAOC/?ref=page_internal', 'display_url': 'facebook.com/repAOC/?ref=pa…', 'indices': [117, 140]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,59,442,False,False,False,en,,
1,1,Tue Aug 11 18:44:11 +0000 2020,1293256917398290434,1293256917398290434,For বাংলা (Bangla) call 855-640-8271 and use participant code 76197418.,False,"[0, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2932569166517043e+18,1.2932569166517043e+18,1.0791045632805274e+18,1.0791045632805274e+18,RepAOC,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,15,63,False,False,,en,,
2,2,Tue Aug 11 18:44:11 +0000 2020,1293256916651704320,1293256916651704320,"For عربية Arabic call: 855-640-8271 and use participant code 28257034. 

For 广东话/廣東話 Cantonese call:  855-640-8271 and use participant code 51431640. 

For 普通话/普通話(Mandarin) call: 855-640-8271 and use participate code 74105990.",False,"[0, 227]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2932569157918843e+18,1.2932569157918843e+18,1.0791045632805274e+18,1.0791045632805274e+18,RepAOC,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,15,66,False,False,,ca,,
3,3,Tue Aug 11 18:44:10 +0000 2020,1293256915791884288,1293256915791884288,"Our town hall on unemployment benefits, the Postal Serve and the Census is tonight at 5:15 PM! 

To listen in English or Spanish, sign up here: https://t.co/3vULWFBITu

For other languages, see the thread.",False,"[0, 205]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3vULWFBITu', 'expanded_url': 'https://us02web.zoom.us/webinar/register/WN_CIfUCl7CQYy0TKrQK8DZAg?fbclid=IwAR0Pw295FF4PvMogCS-WxAqlbEaGDwF7At6FUx5uiKgnTuCPDAQyczNwKBc', 'display_url': 'us02web.zoom.us/webinar/regist…', 'indices': [144, 167]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,47,222,False,False,False,en,,
4,4,Tue Aug 11 12:17:00 +0000 2020,1293159479316344832,1293159479316344832,"Join @RepAOC for her monthly virtual town hall tonight at 5:15 PM ET. She'll discuss unemployment benefits, the Postal Service and the Census. https://t.co/zFftSfrJ6V",False,"[0, 166]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepAOC', 'name': 'Rep. Alexandria Ocasio-Cortez', 'id': 1079104563280527364, 'id_str': '1079104563280527364', 'indices': [5, 12]}], 'urls': [{'url': 'https://t.co/zFftSfrJ6V', 'expanded_url': 'https://www.facebook.com/repAOC/events/?ref=page_internal', 'display_url': 'facebook.com/repAOC/events/…', 'indices': [143, 166]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,59,320,False,False,False,en,,
5,5,Sun Aug 09 22:59:34 +0000 2020,1292596412887203840,1292596412887203840,"Con Edison announced an expanded claims policy. Customers without power for 48 hours or more since Thursday can fill out a claims form to cover spoiled food, medication, or perishable commercial merchandise. https://t.co/CJGSl5cFzj",False,"[0, 231]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CJGSl5cFzj', 'expanded_url': 'https://www.coned.com/en/services-and-outages/claim-form', 'display_url': 'coned.com/en/services-an…', 'indices': [208, 231]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,121,498,False,False,False,en,,
6,6,Sat Aug 08 00:13:20 +0000 2020,1291890201904795648,1291890201904795648,".@RepAOC released a statement on the breakdown in negotiations over a COVID-19 relief bill, and provided a list of financial resources for NY-14 constituents to help close the gap left by the expiration of pandemic unemployment assistance: https://t.co/7DSzEZZJVL",False,"[0, 263]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepAOC', 'name': 'Rep. Alexandria Ocasio-Cortez', 'id': 1079104563280527364, 'id_str': '1079104563280527364', 'indices': [1, 8]}], 'urls': [{'url': 'https://t.co/7DSzEZZJVL', 'expanded_url': 'https://www.facebook.com/repAOC', 'display_url': 'facebook.com/repAOC', 'indices': [240, 263]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,68,413,False,False,False,en,,
7,7,Fri Aug 07 21:22:28 +0000 2020,1291847199249367050,1291847199249367050,.@RepAOC today called on Con Edison to expedite power restoration and to complete an evaluation of why they were unprepared for Tropical Storm Isaias. She also shared resources for constituents impacted by storm damage. See the post on our Facebook page: https://t.co/7DSzEZZJVL,False,"[0, 278]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepAOC', 'name': 'Rep. Alexandria Ocasio-Cortez', 'id': 1079104563280527364, 'id_str': '1079104563280527364', 'indices': [1, 8]}], 'urls': [{'url': 'https://t.co/7DSzEZZJVL', 'expanded_url': 'https://www.facebook.com/repAOC', 'display_url': 'facebook.com/repAOC', 'indices': [255, 278]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,49,302,False,False,False,en,,
8,8,Thu Aug 06 18:02:51 +0000 2020,1291434575089082372,1291434575089082372,"We know many in NY-14 suffered storm damage and some are still without power. Our office is in regular contact with ConEd and the City's Office of Emergency Management. For resources on how to report downed trees or an outage, visit our Facebook page: https://t.co/7DSzEZZJVL",False,"[0, 275]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7DSzEZZJVL', 'expanded_url': 'https://www.facebook.com/repAOC', 'display_url': 'facebook.com/repAOC', 'indices': [252, 275]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,28,212,False,False,False,en,,
9,9,Thu Aug 06 17:59:27 +0000 2020,1291433720839385088,1291433720839385088,"RT @SenKamalaHarris: For a year, @AOC and I have worked with communities on landmark legislation to ensure that as we fight the climate cri…",False,"[0, 140]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SenKamalaHarris', 'name': 'Kamala Harris', 'id': 803694179079458816, 'id_str': '803694179079458816', 'indices': [3, 19]}, {'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [33, 37]}], 'urls': []}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1079104563280527364, 'id_str': '1079104563280527364', 'name': 'Rep. Alexandria Ocasio-Cortez', 'screen_name': 'RepAOC', 'location': 'Washington, DC', 'description': 'This account is maintained by federal staff to share services and legislation relevant to constituents of NY-14.', 'url': 'https://t.co/v2uqN2fOcQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/v2uqN2fOcQ', 'expanded_url': 'https://ocasio-cortez.house.gov/', 'display_url': 'ocasio-cortez.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320913, 'friends_count': 78, 'listed_count': 1459, 'created_at': 'Sat Dec 29 19:59:11 +0000 2018', 'favourites_count': 24, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 374, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1246840907053371393/Y88ef3-c_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1079104563280527364/1593776403', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,3239,0,False,False,,en,,
