,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,retweeted_text
0,Tue Aug 25 18:37:11 +0000 2020,1298328585162416129,1298328585162416129,"Tours of all federal buildings, including of the U.S. Capitol &amp; White House, remain suspended due to COVID-19. Any tour of the Capitol Building booked for before September 30 has unfortunately been canceled. Please continue to check my website for updates. https://t.co/YpxJc7EZ4v",False,"[0, 284]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YpxJc7EZ4v', 'expanded_url': 'https://tinyurl.com/y6cvxfa6', 'display_url': 'tinyurl.com/y6cvxfa6', 'indices': [261, 284]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1,3,False,False,False,en,,
1,Mon Aug 24 19:11:40 +0000 2020,1297974876054212608,1297974876054212608,"I was pleased to join the Central Shenandoah Planning District Commission as they were awarded $400,000 through the CARES Act. As businesses begin to reopen and folks head back to work, this grant will further boost recovery efforts and help encourage economic development. https://t.co/ne7jhfJLOV",False,"[0, 273]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1297973302993072129, 'id_str': '1297973302993072129', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/media/EgNT15TXsAEiBUt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EgNT15TXsAEiBUt.jpg', 'url': 'https://t.co/ne7jhfJLOV', 'display_url': 'pic.twitter.com/ne7jhfJLOV', 'expanded_url': 'https://twitter.com/RepBenCline/status/1297974876054212608/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1042, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1778, 'resize': 'fit'}, 'small': {'w': 680, 'h': 590, 'resize': 'fit'}}}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,5,11,False,False,False,en,,
2,Mon Aug 24 15:35:06 +0000 2020,1297920373951025154,1297920373951025154,"The Commonwealth lost a great Virginian with the passing of former Lt. Governor John H. Hager. As a dedicated public servant, his contributions to the state will not be forgotten. My prayers are with the Hager family in this time. https://t.co/JoP5Tbz74M",False,"[0, 254]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JoP5Tbz74M', 'expanded_url': 'https://tinyurl.com/y2oteoor', 'display_url': 'tinyurl.com/y2oteoor', 'indices': [231, 254]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,2,5,False,False,False,en,,
3,Sun Aug 23 13:00:00 +0000 2020,1297518956853395457,1297518956853395457,https://t.co/3NXimgtYyJ,False,"[0, 23]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3NXimgtYyJ', 'expanded_url': 'https://iqconnect.lmhostediq.com/iqextranet/view_newsletter.aspx?id=201493&c=VA06BC', 'display_url': 'iqconnect.lmhostediq.com/iqextranet/vie…', 'indices': [0, 23]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1,3,False,False,False,und,,
4,Wed Aug 19 13:43:37 +0000 2020,1296080381977022464,1296080381977022464,"Since the devastating floods in Staunton on August 8th, my office has worked to expedite assistance and delivery of Federal aid to those impacted. I recently wrote a letter to the Governor urging him to quickly designate the City a disaster area. https://t.co/Zd1Ub5QDZn",False,"[0, 246]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1296078998095761408, 'id_str': '1296078998095761408', 'indices': [247, 270], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1296078998095761408/pu/img/WvfIgNAHkuPstxVM.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1296078998095761408/pu/img/WvfIgNAHkuPstxVM.jpg', 'url': 'https://t.co/Zd1Ub5QDZn', 'display_url': 'pic.twitter.com/Zd1Ub5QDZn', 'expanded_url': 'https://twitter.com/RepBenCline/status/1296080381977022464/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1356, 'h': 712, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,2,10,False,False,False,en,,
5,Tue Aug 18 21:08:08 +0000 2020,1295829860145860610,1295829860145860610,"On this date a century ago, the Nineteenth Amendment was ratified, giving women the right to vote. Today, we recognize those brave women who fought to secure this right, including Susan B. Anthony. https://t.co/1Se8VfGgKY",False,"[0, 221]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1Se8VfGgKY', 'expanded_url': 'https://www.usnews.com/news/politics/articles/2020-08-18/trump-pardons-susan-b-anthony', 'display_url': 'usnews.com/news/politics/…', 'indices': [198, 221]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,5,11,False,False,False,en,,
6,Sun Aug 16 16:16:07 +0000 2020,1295031595741720576,1295031595741720576,https://t.co/ScPmUYw9tZ,False,"[0, 23]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ScPmUYw9tZ', 'expanded_url': 'https://iqconnect.lmhostediq.com/iqextranet/view_newsletter.aspx?id=201353&c=VA06BC', 'display_url': 'iqconnect.lmhostediq.com/iqextranet/vie…', 'indices': [0, 23]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1,0,False,False,False,und,,
7,Sun Aug 16 14:00:14 +0000 2020,1294997399493136385,1294997399493136385,"My family and I offer our heartfelt condolences to @realDonaldTrump for the loss of his brother, Robert Trump.",False,"[0, 110]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [51, 67]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,4,41,False,False,,en,,
8,Fri Aug 14 19:43:15 +0000 2020,1294358945352626179,1294358945352626179,For 85 years Social Security has been an important program for senior citizens. Congress must ensure that it is strengthened and protected for current and future recipients. #Happy85th https://t.co/NdrifmWwnO,False,"[0, 184]","{'hashtags': [{'text': 'Happy85th', 'indices': [174, 184]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1294358943024721922, 'id_str': '1294358943024721922', 'indices': [185, 208], 'media_url': 'http://pbs.twimg.com/media/EfZ8mdLWsAIx4FG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EfZ8mdLWsAIx4FG.jpg', 'url': 'https://t.co/NdrifmWwnO', 'display_url': 'pic.twitter.com/NdrifmWwnO', 'expanded_url': 'https://twitter.com/RepBenCline/status/1294358945352626179/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 640, 'h': 417, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 640, 'h': 417, 'resize': 'fit'}, 'large': {'w': 640, 'h': 417, 'resize': 'fit'}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,3,11,False,False,False,en,,
9,Fri Aug 14 01:26:54 +0000 2020,1294083041401307137,1294083041401307137,"RT @IssueOneReform: BREAKING: @RepBenCline (R-VA) and @RepDeanPhillips (D-MN) just introduced H.R. 8022, the Lobbying Disclosure Reform Act…",False,"[0, 140]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IssueOneReform', 'name': 'Issue One', 'id': 17547736, 'id_str': '17547736', 'indices': [3, 18]}, {'screen_name': 'RepBenCline', 'name': 'Congressman Ben Cline', 'id': 1072158357237174272, 'id_str': '1072158357237174272', 'indices': [30, 42]}, {'screen_name': 'RepDeanPhillips', 'name': 'Rep. Dean Phillips', 'id': 1061310112013434882, 'id_str': '1061310112013434882', 'indices': [54, 70]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1072158357237174272, 'id_str': '1072158357237174272', 'name': 'Congressman Ben Cline', 'screen_name': 'RepBenCline', 'location': 'Rockbridge County, Virginia', 'description': 'Representing the 6th District of Virginia. Member of House @EdLaborGOP and @JudiciaryGOP Committees.', 'url': 'https://t.co/85A2wNen3Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/85A2wNen3Y', 'expanded_url': 'http://cline.house.gov', 'display_url': 'cline.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 13863, 'friends_count': 334, 'listed_count': 257, 'created_at': 'Mon Dec 10 15:57:26 +0000 2018', 'favourites_count': 82, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 825, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1080526430851747841/A1ugejo0_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1072158357237174272/1546453531', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,12,0,False,False,,en,"{'created_at': 'Thu Aug 13 17:35:40 +0000 2020', 'id': 1293964449431396364, 'id_str': '1293964449431396364', 'full_text': 'BREAKING: @RepBenCline (R-VA) and @RepDeanPhillips (D-MN) just introduced H.R. 8022, the Lobbying Disclosure Reform Act of 2020 (LDA).\n\nThis is the first substantive update of the LDA in over a decade.\n\nhttps://t.co/sgL1ugZEE7', 'truncated': False, 'display_text_range': [0, 226], 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepBenCline', 'name': 'Congressman Ben Cline', 'id': 1072158357237174272, 'id_str': '1072158357237174272', 'indices': [10, 22]}, {'screen_name': 'RepDeanPhillips', 'name': 'Rep. Dean Phillips', 'id': 1061310112013434882, 'id_str': '1061310112013434882', 'indices': [34, 50]}], 'urls': [{'url': 'https://t.co/sgL1ugZEE7', 'expanded_url': 'https://www.issueone.org/issue-one-applauds-the-introduction-of-the-bipartisan-lobbying-disclosure-reform-act-of-2020-to-increase-transparency/', 'display_url': 'issueone.org/issue-one-appl…', 'indices': [203, 226]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 17547736, 'id_str': '17547736', 'name': 'Issue One', 'screen_name': 'IssueOneReform', 'location': 'Washington, DC', 'description': 'Issue One is the leading crosspartisan political reform group in Washington, uniting Republicans, Democrats, and independents to fix our broken system.', 'url': 'https://t.co/yFyelr0IoQ', 'entities': {'url': {'urls': [{'url': 'https://t.co/yFyelr0IoQ', 'expanded_url': 'http://www.issueone.org', 'display_url': 'issueone.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 9036, 'friends_count': 2245, 'listed_count': 268, 'created_at': 'Fri Nov 21 22:41:15 +0000 2008', 'favourites_count': 2749, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 24997, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme6/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme6/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1223006862964068358/OqGznfpQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1223006862964068358/OqGznfpQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/17547736/1546982702', 'profile_link_color': 'BC2127', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 12, 'favorite_count': 28, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}","BREAKING: @RepBenCline (R-VA) and @RepDeanPhillips (D-MN) just introduced H.R. 8022, the Lobbying Disclosure Reform Act of 2020 (LDA).

This is the first substantive update of the LDA in over a decade.

https://t.co/sgL1ugZEE7"
