,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,retweeted_text
0,Mon Aug 24 22:48:00 +0000 2020,1298029317792976896,1298029317792976896,"DERECHO RESOURCES: Iowans, FEMA recently released a fact sheet with information on assistance available to Linn County homeowners, renters, business owners and more. If you experienced damage from the #derecho, please check it out: https://t.co/eelUBZ20z2 #IA01",False,"[0, 261]","{'hashtags': [{'text': 'derecho', 'indices': [201, 209]}, {'text': 'IA01', 'indices': [256, 261]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eelUBZ20z2', 'expanded_url': 'https://finkenauer.house.gov/sites/finkenauer.house.gov/files/FS001%20Basic%20FEMA%20Info%20for%20Iowans.pdf', 'display_url': 'finkenauer.house.gov/sites/finkenau…', 'indices': [232, 255]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,6,10,False,False,False,en,,
1,Mon Aug 24 21:28:06 +0000 2020,1298009212518309888,1298009212518309888,"Was your property damaged in the #derecho? Here's what to do:
✅ Remove debris &amp; make repairs
✅ Document damage with photos &amp; video
✅ Save all receipts &amp; contractor estimates
✅ File your insurance claims
Click here more info on FEMA assistance: https://t.co/eelUBZ20z2 #IA01",False,"[0, 285]","{'hashtags': [{'text': 'derecho', 'indices': [33, 41]}, {'text': 'IA01', 'indices': [280, 285]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eelUBZ20z2', 'expanded_url': 'https://finkenauer.house.gov/sites/finkenauer.house.gov/files/FS001%20Basic%20FEMA%20Info%20for%20Iowans.pdf', 'display_url': 'finkenauer.house.gov/sites/finkenau…', 'indices': [256, 279]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,9,15,False,False,False,en,,
2,Mon Aug 24 21:00:01 +0000 2020,1298002142163161089,1298002142163161089,Iowa was the 10th state to ratify the 19th Amendment — which was added to the U.S. Constitution 100 years ago on a razor-thin vote. #IA01 #suffrage100 https://t.co/BarufxL3dN,False,"[0, 174]","{'hashtags': [{'text': 'IA01', 'indices': [132, 137]}, {'text': 'suffrage100', 'indices': [138, 150]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BarufxL3dN', 'expanded_url': 'https://www.bellevueheraldleader.com/news/19th-amendment-passed-100-years-ago-by-razor-thin-vote/article_7ca6c880-d667-11ea-a791-6bf6eb81c447.html', 'display_url': 'bellevueheraldleader.com/news/19th-amen…', 'indices': [151, 174]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1,11,False,False,False,en,,
3,Mon Aug 24 18:48:13 +0000 2020,1297968975578619906,1297968975578619906,"Now more than ever in the wake of the #derecho, we need a bipartisan coronavirus relief package with aid for local governments. Today I joined a letter with @RepCindyAxne, @DaveLoebsack and others again calling on the White House and congressional leaders to get this done. #IA01 https://t.co/8SrzBq8HSS",False,"[0, 279]","{'hashtags': [{'text': 'derecho', 'indices': [38, 46]}, {'text': 'IA01', 'indices': [274, 279]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RepCindyAxne', 'name': 'Rep. Cindy Axne', 'id': 1080865917377097728, 'id_str': '1080865917377097728', 'indices': [157, 170]}, {'screen_name': 'daveloebsack', 'name': 'Dave Loebsack', 'id': 510516465, 'id_str': '510516465', 'indices': [172, 185]}], 'urls': [{'url': 'https://t.co/8SrzBq8HSS', 'expanded_url': 'https://twitter.com/RepCindyAxne/status/1297943323638890498', 'display_url': 'twitter.com/RepCindyAxne/s…', 'indices': [280, 303]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,True,12,38,False,False,False,en,,
4,Mon Aug 24 15:07:04 +0000 2020,1297913321249701888,1297913321249701888,The fight for women’s suffrage was full of ups and downs. Watch @IowaPBS’s story of how Iowans pushed the all-male legislature for a state constitutional amendment granting women the right to vote: https://t.co/aEYfTzhJXi #IA01 #suffrage100,False,"[0, 240]","{'hashtags': [{'text': 'IA01', 'indices': [222, 227]}, {'text': 'suffrage100', 'indices': [228, 240]}], 'symbols': [], 'user_mentions': [{'screen_name': 'IowaPBS', 'name': 'Iowa PBS', 'id': 16874644, 'id_str': '16874644', 'indices': [64, 72]}], 'urls': [{'url': 'https://t.co/aEYfTzhJXi', 'expanded_url': 'https://www.youtube.com/watch?v=D0lVJammfrE&feature=emb_title', 'display_url': 'youtube.com/watch?v=D0lVJa…', 'indices': [198, 221]}]}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,3,7,False,False,False,en,,
5,Sun Aug 23 21:42:18 +0000 2020,1297650395603492865,1297650395603492865,#IA01 DERECHO HELP AVAILABLE: Call 1-800-RED-CROSS for information on cash assistance for storm recovery. You’ll need a phone that can receive texts or access to email to complete the application.,False,"[0, 196]","{'hashtags': [{'text': 'IA01', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,6,9,False,False,,en,,
6,Sun Aug 23 20:33:22 +0000 2020,1297633047798571008,1297633047798571008,"Linn County has received approval for federal aid to individuals and families, but several other Iowa counties remain in limbo. If you experienced damage from the #derecho, fill out this assessment form to help us build the case for federal aid. #IA01 https://t.co/PpzP1FL24c",False,"[0, 275]","{'hashtags': [{'text': 'derecho', 'indices': [163, 171]}, {'text': 'IA01', 'indices': [246, 251]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PpzP1FL24c', 'expanded_url': 'https://survey123.arcgis.com/share/7ddd269f8fbf4b8a9bd0f512dc53484d', 'display_url': 'survey123.arcgis.com/share/7ddd269f…', 'indices': [252, 275]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,7,13,False,False,False,en,,
7,Sun Aug 23 19:34:55 +0000 2020,1297618339045548033,1297618339045548033,"In the coming days, I’ll be sharing stories and videos about Iowa’s role in the movement — starting with this wonderful online exhibit from the Iowa Women’s Archives. Check it out! https://t.co/WUQ5NoLcKr",False,"[0, 204]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WUQ5NoLcKr', 'expanded_url': 'http://sdrc.lib.uiowa.edu/exhibits/suffrage/suffragehome.html', 'display_url': 'sdrc.lib.uiowa.edu/exhibits/suffr…', 'indices': [181, 204]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.297618337871147e+18,1.297618337871147e+18,1.0812562954690683e+18,1.0812562954690683e+18,RepFinkenauer,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,3,12,False,False,False,en,,
8,Sun Aug 23 19:34:54 +0000 2020,1297618337871147009,1297618337871147009,"This week we’re celebrating 100 years of the 19th Amendment, which finally gave women the right to vote. Iowa was at the center of the suffrage movement for decades, and our history is rich with activists and activism that led to the amendment’s passage. #IA01 #suffrage100",False,"[0, 273]","{'hashtags': [{'text': 'IA01', 'indices': [255, 260]}, {'text': 'suffrage100', 'indices': [261, 273]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,7,31,False,False,,en,,
9,Sun Aug 23 16:01:53 +0000 2020,1297564726738722816,1297564726738722816,"If you or someone you know needs help with #derecho recovery, call 1-800-RED-CROSS for information on cash assistance. You’ll need a phone that can receive texts or access to email to complete the application. $450 in help may be available to folks in #IA01",False,"[0, 257]","{'hashtags': [{'text': 'derecho', 'indices': [43, 51]}, {'text': 'IA01', 'indices': [252, 257]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1081256295469068288, 'id_str': '1081256295469068288', 'name': 'Abby Finkenauer', 'screen_name': 'RepFinkenauer', 'location': '', 'description': ""I represent the people of Iowa's First Congressional District in the U.S. House of Representatives."", 'url': 'https://t.co/oZmuGt0sI2', 'entities': {'url': {'urls': [{'url': 'https://t.co/oZmuGt0sI2', 'expanded_url': 'https://finkenauer.house.gov/', 'display_url': 'finkenauer.house.gov', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 12146, 'friends_count': 33, 'listed_count': 311, 'created_at': 'Fri Jan 04 18:29:24 +0000 2019', 'favourites_count': 73, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1088139296899518464/hOy8q-Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1081256295469068288/1546648307', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,18,32,False,False,,en,,
