,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,retweeted_status,retweeted_text
0,Fri May 12 18:41:45 +0000 2017,863101910102016001,863101910102016001,@digitalandrei Never!,False,"[15, 21]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'digitalandrei', 'name': 'Andrei', 'id': 83478074, 'id_str': '83478074', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",8.630086745912361e+17,8.630086745912361e+17,83478074.0,83478074.0,digitalandrei,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,0,False,False,en,,
1,Fri May 12 10:29:37 +0000 2017,862978061226184705,862978061226184705,Verifying myself: I am jsribeiro on Keybase.io. 3S3RyIuoE3lZhqz5KD1xSIuAB_xGZyM31e6w / https://t.co/0e8MxVscWX,False,"[0, 110]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0e8MxVscWX', 'expanded_url': 'https://keybase.io/jsribeiro/sigs/3S3RyIuoE3lZhqz5KD1xSIuAB_xGZyM31e6w', 'display_url': 'keybase.io/jsribeiro/sigs…', 'indices': [87, 110]}]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,1,False,False,en,,
2,Tue Apr 18 11:06:57 +0000 2017,854290146782580738,854290146782580738,"@BatuqueGS Olá... Infelismente não, uso ativamente :)",False,"[11, 53]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BatuqueGS', 'name': 'horário oficial do óleo de macaco', 'id': 592116092, 'id_str': '592116092', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8.537543647328666e+17,8.537543647328666e+17,592116092.0,592116092.0,BatuqueGS,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,1,False,False,pt,,
3,Thu Apr 06 13:15:43 +0000 2017,849973898049441793,849973898049441793,@ioregistry Hey .io! Some of your name servers are not updating (looking at ns-a2.io and ns-a4.io) and it's causing trouble on a new domain!,False,"[0, 140]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ioregistry', 'name': 'Dot IO Registry', 'id': 2852429456, 'id_str': '2852429456', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,2852429456.0,2852429456.0,ioregistry,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,0,False,False,en,,
4,Tue Mar 14 16:12:56 +0000 2017,841683572985610240,841683572985610240,"Hey @andersaberg, I would like you to add LIS (Lisbon) #listentotheclouds",False,"[0, 73]","{'hashtags': [{'text': 'listentotheclouds', 'indices': [55, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'andersaberg', 'name': 'Anders Åberg', 'id': 109948781, 'id_str': '109948781', 'indices': [4, 16]}], 'urls': []}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,2,False,False,en,,
5,Thu Jun 09 12:57:45 +0000 2016,740890629362855936,740890629362855936,Verifying that +jsribeiro is my blockchain ID. https://t.co/e3Ow2ZpwyY,False,"[0, 70]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e3Ow2ZpwyY', 'expanded_url': 'https://onename.com/jsribeiro', 'display_url': 'onename.com/jsribeiro', 'indices': [47, 70]}]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,1,8,False,False,en,,
6,Thu Oct 29 21:06:50 +0000 2015,659838827960401920,659838827960401920,Gimme #Sysadmin Horror Stories @serverdensity! https://t.co/eflx22wCRC,False,"[0, 70]","{'hashtags': [{'text': 'Sysadmin', 'indices': [6, 15]}], 'symbols': [], 'user_mentions': [{'screen_name': 'serverdensity', 'name': 'Server Density', 'id': 23840756, 'id_str': '23840756', 'indices': [31, 45]}], 'urls': [{'url': 'https://t.co/eflx22wCRC', 'expanded_url': 'http://m.gvwy.io/?scale=0.7080&raflid=80acfaa71&template=5630c412da573949442dc395&previous_url=https%3A%2F%2Fwww.serverdensity.com%2Fsysadmin-horror-stories%2F%3FwantsCookies%3Dyes', 'display_url': 'm.gvwy.io/?scale=0.7080&…', 'indices': [47, 70]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,3,False,False,en,,
7,Mon Oct 19 11:31:20 +0000 2015,656070118640918528,656070118640918528,RT @martinmeuer: Portuguese #hpc community underrepresented @ISChpc but keeps evolving http://t.co/jzXpV1nAHi @SuperComputerPT,False,"[0, 126]","{'hashtags': [{'text': 'hpc', 'indices': [28, 32]}], 'symbols': [], 'user_mentions': [{'screen_name': 'martinmeuer', 'name': 'Martin Meuer', 'id': 55491943, 'id_str': '55491943', 'indices': [3, 15]}, {'screen_name': 'ISChpc', 'name': 'ISC High Performance', 'id': 78039465, 'id_str': '78039465', 'indices': [60, 67]}, {'screen_name': 'SuperComputerPT', 'name': 'SuperComputer.pt', 'id': 2974441911, 'id_str': '2974441911', 'indices': [110, 126]}], 'urls': [{'url': 'http://t.co/jzXpV1nAHi', 'expanded_url': 'http://bit.ly/1OAO0OW', 'display_url': 'bit.ly/1OAO0OW', 'indices': [87, 109]}]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,1,0,False,False,en,"{'created_at': 'Wed Oct 14 06:54:48 +0000 2015', 'id': 654188590331744256, 'id_str': '654188590331744256', 'full_text': 'Portuguese #hpc community underrepresented @ISChpc but keeps evolving http://t.co/jzXpV1nAHi @SuperComputerPT', 'truncated': False, 'display_text_range': [0, 109], 'entities': {'hashtags': [{'text': 'hpc', 'indices': [11, 15]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ISChpc', 'name': 'ISC High Performance', 'id': 78039465, 'id_str': '78039465', 'indices': [43, 50]}, {'screen_name': 'SuperComputerPT', 'name': 'SuperComputer.pt', 'id': 2974441911, 'id_str': '2974441911', 'indices': [93, 109]}], 'urls': [{'url': 'http://t.co/jzXpV1nAHi', 'expanded_url': 'http://bit.ly/1OAO0OW', 'display_url': 'bit.ly/1OAO0OW', 'indices': [70, 92]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 55491943, 'id_str': '55491943', 'name': 'Martin Meuer', 'screen_name': 'martinmeuer', 'location': 'Rostock, Deutschland', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 234, 'friends_count': 216, 'listed_count': 7, 'created_at': 'Fri Jul 10 06:34:49 +0000 2009', 'favourites_count': 274, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 464, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '3A414F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/554535094119976962/ddmtJ9MD_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/554535094119976962/ddmtJ9MD_normal.jpeg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A2B598', 'profile_sidebar_fill_color': 'E8925D', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 3, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",Portuguese #hpc community underrepresented @ISChpc but keeps evolving http://t.co/jzXpV1nAHi @SuperComputerPT
8,Thu May 14 12:48:05 +0000 2015,598832151639949312,598832151639949312,Just gave Kampai a 4.5/5 rating on @Zomato #LoveFood http://t.co/YzvgRVBJsY,False,"[0, 75]","{'hashtags': [{'text': 'LoveFood', 'indices': [43, 52]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Zomato', 'name': 'Zomato', 'id': 23283603, 'id_str': '23283603', 'indices': [35, 42]}], 'urls': [{'url': 'http://t.co/YzvgRVBJsY', 'expanded_url': 'http://www.zoma.to/r/8200489', 'display_url': 'zoma.to/r/8200489', 'indices': [53, 75]}]}","<a href=""https://www.zomato.com"" rel=""nofollow"">Zomato</a>",,,,,,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,3,False,False,en,,
9,Fri Mar 13 13:15:10 +0000 2015,576370919213514752,576370919213514752,"Nothing new here, move along...
http://t.co/KqHtJPwPE0",False,"[0, 54]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/KqHtJPwPE0', 'expanded_url': 'http://www.ctvnews.ca/health/homeopathy-won-t-cure-you-researchers-conclude-1.2276666', 'display_url': 'ctvnews.ca/health/homeopa…', 'indices': [32, 54]}]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,"{'id': 676563, 'id_str': '676563', 'name': 'João Sena Ribeiro', 'screen_name': 'sena', 'location': 'Portugal', 'description': '', 'url': 'https://t.co/Wyh1HB0fXT', 'entities': {'url': {'urls': [{'url': 'https://t.co/Wyh1HB0fXT', 'expanded_url': 'http://smux.net/', 'display_url': 'smux.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 761, 'friends_count': 153, 'listed_count': 35, 'created_at': 'Sun Jan 21 20:22:01 +0000 2007', 'favourites_count': 14, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/608461961/photo-363_normal.jpg', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,1,False,False,en,,
