,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,retweeted_text
0,Thu Aug 20 16:39:10 +0000 2020,1296486949272850433,1296486949272850433,"Every year, members of Congress receive thousands of pieces of mail. But I am among the few who have ever delivered it. https://t.co/d4scbXm7wx",False,"[0, 143]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/d4scbXm7wx', 'expanded_url': 'http://bostonglobe.com/2020/08/20/opinion/postal-service-has-always-delivered-trump-has-not/', 'display_url': 'bostonglobe.com/2020/08/20/opi…', 'indices': [120, 143]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,4,11,False,False,False,en,,
1,Tue Aug 18 22:01:05 +0000 2020,1295843184539566087,1295843184539566087,"That means making sure everyone can vote safely this November - regardless of their gender identity, race, economic status or proximity to a postal sorting machine.",False,"[0, 164]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2958431837342597e+18,1.2958431837342597e+18,232992031.0,232992031.0,USRepKeating,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,2,18,False,False,,en,,
2,Tue Aug 18 22:01:05 +0000 2020,1295843183734259713,1295843183734259713,If Susan B. Anthony was with us today I can't help but think that she would prefer to see the focus of today's anniversary on true universal suffrage rather than clearing her criminal record of the good trouble she caused.,False,"[0, 222]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,6,29,False,False,,en,,
3,Fri Aug 14 22:11:58 +0000 2020,1294396370451927041,1294396370451927041,"Today marks 85 years since Social Security was signed into law and I promise to continue to fight to defend it, not defund it.",False,"[0, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,6,26,False,False,,en,,
4,Mon Aug 10 18:39:52 +0000 2020,1292893442184482817,1292893442184482817,I’m glad to be in Plymouth today as the Mayflower returns home. Glad to work with the Army Corps and the town to get Plymouth Harbor dredged in anticipation of this day.,False,"[0, 169]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,5,31,False,False,,en,,
5,Sun Aug 09 18:35:03 +0000 2020,1292529844270620674,1292529844270620674,We cannot allow the President to create further uncertainty for struggling businesses unsure of whether they can afford to pay when their deferred payroll taxes come due.,False,"[0, 170]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,4,12,False,False,,en,,
6,Sun Aug 09 18:34:50 +0000 2020,1292529788993896453,1292529788993896453,"We cannot allow the President to rob FEMA's disaster relief funds, in what NOAA is predicting could be the most active Atlantic hurricane season in history, to fund his gimmicks.",False,"[0, 178]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,4,12,False,False,,en,,
7,Sun Aug 09 18:34:33 +0000 2020,1292529717200015361,1292529717200015361,We cannot allow the President to rob already-struggling state budgets to fund unemployment assistance.,False,"[0, 102]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,3,19,False,False,,en,,
8,Sun Aug 09 18:34:23 +0000 2020,1292529674845917184,1292529674845917184,We cannot allow the President to rob Social Security &amp; Medicare to pay for relief.,False,"[0, 86]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,4,20,False,False,,en,,
9,Sun Aug 09 18:33:58 +0000 2020,1292529570399354884,1292529570399354884,"We need real action. It shouldn't be about phony solutions to get through an election, but that's exactly what the President's executive order is. It's also providing false hopes for Americans on the brink, and that's cruel.",False,"[0, 224]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2925295695898583e+18,1.2925295695898583e+18,232992031.0,232992031.0,USRepKeating,"{'id': 232992031, 'id_str': '232992031', 'name': 'Congressman Bill Keating', 'screen_name': 'USRepKeating', 'location': 'Bourne, Ma', 'description': 'Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.', 'url': 'http://t.co/QaDOYmqOzS', 'entities': {'url': {'urls': [{'url': 'http://t.co/QaDOYmqOzS', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18483, 'friends_count': 612, 'listed_count': 868, 'created_at': 'Sat Jan 01 23:58:47 +0000 2011', 'favourites_count': 27, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 1587, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/232992031/1483561310', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,2,8,False,False,,en,,
