,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,retweeted_text
0,Fri Jul 10 23:21:00 +0000 2020,1281730168374075394,1281730168374075394,"As many universities plan for online or hybrid learning this fall, this needlessly punitive proposal puts international students at risk of illness or deportation if they continue their education in the United States. https://t.co/jkAx1c8Px5",False,"[0, 241]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jkAx1c8Px5', 'expanded_url': 'https://johnlewis.house.gov/media-center/press-releases/rep-john-lewis-opposes-student-visa-changes', 'display_url': 'johnlewis.house.gov/media-center/p…', 'indices': [218, 241]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1183,6392,False,False,False,en,,
1,Tue Jul 07 18:32:18 +0000 2020,1280570353845231620,1280570353845231620,"59 years ago today I was released from Parchman Farm Penitentiary after being arrested in Jackson, MS for using a so-called ""white"" restroom during the Freedom Rides of 1961. https://t.co/OUfgeaNDOm",False,"[0, 174]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1280570349411864577, 'id_str': '1280570349411864577', 'indices': [175, 198], 'media_url': 'http://pbs.twimg.com/media/EcV_8rKXkAEUW76.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EcV_8rKXkAEUW76.jpg', 'url': 'https://t.co/OUfgeaNDOm', 'display_url': 'pic.twitter.com/OUfgeaNDOm', 'expanded_url': 'https://twitter.com/repjohnlewis/status/1280570353845231620/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 522, 'resize': 'fit'}, 'large': {'w': 800, 'h': 614, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 614, 'resize': 'fit'}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,81910,352154,False,False,False,en,,
2,Thu Jun 25 18:21:42 +0000 2020,1276219028772700161,1276219028772700161,House Democrats are listening to those speaking out for police reform and will pass the George Floyd #JusticeInPolicing Act today. Learn more about the bill and become a citizen co-sponsor at https://t.co/O1RhjQSnBu.,False,"[0, 216]","{'hashtags': [{'text': 'JusticeInPolicing', 'indices': [101, 119]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/O1RhjQSnBu', 'expanded_url': 'http://JusticeInPolicing.us', 'display_url': 'JusticeInPolicing.us', 'indices': [192, 215]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1032,3632,False,False,False,en,,
3,Fri Jun 19 03:12:24 +0000 2020,1273815869496463364,1273815869496463364,Today’s Supreme Court decision affirms what millions of Americans already knew: The current administration is so determined to wage a hateful campaign against immigrant families and communities that it makes cruel and arbitrary decisions that break the law https://t.co/Fis46ZkCCi,False,"[0, 280]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Fis46ZkCCi', 'expanded_url': 'https://johnlewis.house.gov/media-center/press-releases/rep-lewis-still-more-work-do-dreamers-and-immigrants', 'display_url': 'johnlewis.house.gov/media-center/p…', 'indices': [257, 280]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,1006,4358,False,False,False,en,,
4,Sat May 30 23:47:30 +0000 2020,1266878938049101826,1266878938049101826,"I know your pain, your rage, your sense of despair and hopelessness. Justice has, indeed, been denied for far too long. Rioting, looting, and burning is not the way. Organize. Demonstrate. Sit-in. Stand-up. Vote.  Be constructive, not destructive. https://t.co/YbB14dgzr9",False,"[0, 271]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YbB14dgzr9', 'expanded_url': 'https://johnlewis.house.gov/media-center/press-releases/rep-lewis-recent-police-killings-and-civil-unrest-atlanta-and-across', 'display_url': 'johnlewis.house.gov/media-center/p…', 'indices': [248, 271]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,29555,99903,False,False,False,en,,
5,Wed May 20 23:26:18 +0000 2020,1263249721826607106,1263249721826607106,"Today, the GA Congressional Delegation co-signed a letter to U.S. AG William Barr and Asst AG Eric Dreiband, encouraging the use of “all possible Federal resources to achieve full justice, transparency, and accountability in the case of Mr. Ahmaud Arbery.” https://t.co/8FcMZEEKWF",False,"[0, 280]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8FcMZEEKWF', 'expanded_url': 'https://johnlewis.house.gov/media-center/press-releases/entire-georgia-house-delegation-requests-federal-action-arbery', 'display_url': 'johnlewis.house.gov/media-center/p…', 'indices': [257, 280]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,456,2031,False,False,False,en,,
6,Thu May 14 15:57:27 +0000 2020,1260962438213664768,1260962438213664768,I am sharing more updates about our work in Congress and in Georgia’s 5th District. https://t.co/2NOebHOkrw,False,"[0, 107]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2NOebHOkrw', 'expanded_url': 'https://johnlewis.house.gov/media-center/press-releases/coronavirus-updates', 'display_url': 'johnlewis.house.gov/media-center/p…', 'indices': [84, 107]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,132,809,False,False,False,en,,
7,Tue Apr 28 17:37:19 +0000 2020,1255189362653958152,1255189362653958152,I’m continuing to share updates regarding the ongoing COVID-19 pandemic and some resources that you may find helpful. https://t.co/rqSKpL9HoC,False,"[0, 141]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rqSKpL9HoC', 'expanded_url': 'https://johnlewis.house.gov/media-center/press-releases/coronavirus-updates-and-resources', 'display_url': 'johnlewis.house.gov/media-center/p…', 'indices': [118, 141]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,170,855,False,False,False,en,,
8,Wed Apr 22 20:50:26 +0000 2020,1253063635968176128,1253063635968176128,"Today, I joined @RepBobbyRush in calling on the @EPA to secure equal rights to clean air protections. Air pollution has not only contributed to the climate crisis, but is linked to the increased mortality of COVID-19 in our most vulnerable communities.",False,"[0, 252]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepBobbyRush', 'name': 'Bobby L. Rush', 'id': 305216911, 'id_str': '305216911', 'indices': [16, 29]}, {'screen_name': 'EPA', 'name': 'U.S. EPA', 'id': 14615871, 'id_str': '14615871', 'indices': [48, 52]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,319,1500,False,False,,en,,
9,Wed Apr 22 16:00:39 +0000 2020,1252990708782452737,1252990708782452737,"Please know, certain Social Security beneficiaries and Supplemental Security Income (SSI) recipients must update their information by today, April 22, 2020 in order to receive their full economic impact payment authorized in the CARES Act. https://t.co/5jdTRzswHl",False,"[0, 263]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5jdTRzswHl', 'expanded_url': 'https://johnlewis.house.gov/media-center/press-releases/coronavirus-updates-rebates-and-small-businesses', 'display_url': 'johnlewis.house.gov/media-center/p…', 'indices': [240, 263]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 29450962, 'id_str': '29450962', 'name': 'John Lewis', 'screen_name': 'repjohnlewis', 'location': 'Atlanta, GA', 'description': ""Congressman, Georgia's Fifth Congressional District"", 'url': 'http://t.co/jkhd3kZYNd', 'entities': {'url': {'urls': [{'url': 'http://t.co/jkhd3kZYNd', 'expanded_url': 'http://johnlewis.house.gov', 'display_url': 'johnlewis.house.gov', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1237446, 'friends_count': 146, 'listed_count': 5815, 'created_at': 'Tue Apr 07 13:49:52 +0000 2009', 'favourites_count': 2002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 2013, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1289FF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/751446634429575169/KWfWsq0W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29450962/1363708574', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,358,626,False,False,False,en,,
